threshold,precision,recall
0.0728766284780225,0.16795118818240207,0.9526411657559198
0.07308255996071313,0.1680051397365885,0.9526411657559198
0.07316250155635788,0.16806181584030908,0.9508196721311475
0.07359256114263306,0.1681159420289855,0.9508196721311475
0.07441196108533035,0.16817010309278352,0.9508196721311475
0.07536760499375376,0.16806451612903225,0.9489981785063752
0.07566101469956063,0.1681187479832204,0.9489981785063752
0.07575352017803809,0.16817301484828923,0.9489981785063752
0.0762248795092298,0.16839043309631546,0.9489981785063752
0.07631430396348626,0.16910094125283998,0.9489981785063752
0.07640011767162126,0.16915584415584414,0.9489981785063752
0.07824228208036996,0.16921078272166287,0.9489981785063752
0.07839623702964928,0.16926575698505522,0.9489981785063752
0.0789087011756246,0.1694308943089431,0.9489981785063752
0.07925871703440719,0.16948601171112557,0.9489981785063752
